phase,experiment,draft_model,k,eviction_policy,ttft_p50,ttft_p95,tpot_p50,acceptance_rate,speedup_ratio,vram_mb
Phase 2,baseline_autocomplete,,,,38.85,43.192499999999995,29.85,,,
Phase 2,baseline_rewrite,,,,41.335,42.2505,31.145,,,
Phase 3,prefill_cold,,,,867.985,1326.4979999999978,,,,
Phase 3,prefill_warm,,,,716.175,757.068,,0.03333333333333333,,
Phase 4,speculative,Q2_K,1.0,lru,376.19500000000005,490.1225,210.37,0.8344000000000001,0.14195,
Phase 4,speculative,Q2_K,4.0,lru,536.595,541.442,129.63,0.8215,0.229,
Phase 4,speculative,Q2_K,8.0,lru,595.76,600.876,102.32499999999999,0.8418999999999999,0.2993,
Phase 4,speculative,Q4_K_M,1.0,lru,482.17999999999995,662.578,269.53,0.8983999999999999,0.11080000000000001,
Phase 4,speculative,Q4_K_M,4.0,lru,720.25,725.5925,144.43,0.9117500000000002,0.20845000000000002,
Phase 4,speculative,Q4_K_M,8.0,lru,797.7,801.72,105.82,0.9116500000000001,0.2819999999999999,
Phase 4,eviction,,,adaptive,1921.4450000000002,1933.8145,,,,8250.47777777778
Phase 4,eviction,,,lru,1921.165,1934.3425,,,,8250.47777777778
Phase 4,eviction,,,unconstrained,1921.06,1934.141,,,,8250.47777777778
