prompt_len,response_len,quality_ratio,error
486,0,0.0,"ContentTypeError: 200, message='Attempt to decode JSON with unexpected mimetype: text/event-stream; charset=utf-8', url='http://localhost:8001/complete_prefill'"
435,0,0.0,"ContentTypeError: 200, message='Attempt to decode JSON with unexpected mimetype: text/event-stream; charset=utf-8', url='http://localhost:8001/complete_prefill'"
275,0,0.0,"ContentTypeError: 200, message='Attempt to decode JSON with unexpected mimetype: text/event-stream; charset=utf-8', url='http://localhost:8001/complete_prefill'"
300,0,0.0,"ContentTypeError: 200, message='Attempt to decode JSON with unexpected mimetype: text/event-stream; charset=utf-8', url='http://localhost:8001/complete_prefill'"
308,0,0.0,"ContentTypeError: 200, message='Attempt to decode JSON with unexpected mimetype: text/event-stream; charset=utf-8', url='http://localhost:8001/complete_prefill'"
307,0,0.0,"ContentTypeError: 200, message='Attempt to decode JSON with unexpected mimetype: text/event-stream; charset=utf-8', url='http://localhost:8001/complete_prefill'"
124,0,0.0,"ContentTypeError: 200, message='Attempt to decode JSON with unexpected mimetype: text/event-stream; charset=utf-8', url='http://localhost:8001/complete_prefill'"
408,0,0.0,"ContentTypeError: 200, message='Attempt to decode JSON with unexpected mimetype: text/event-stream; charset=utf-8', url='http://localhost:8001/complete_prefill'"
109,0,0.0,"ContentTypeError: 200, message='Attempt to decode JSON with unexpected mimetype: text/event-stream; charset=utf-8', url='http://localhost:8001/complete_prefill'"
261,0,0.0,"ContentTypeError: 200, message='Attempt to decode JSON with unexpected mimetype: text/event-stream; charset=utf-8', url='http://localhost:8001/complete_prefill'"
372,0,0.0,"ContentTypeError: 200, message='Attempt to decode JSON with unexpected mimetype: text/event-stream; charset=utf-8', url='http://localhost:8001/complete_prefill'"
213,0,0.0,"ContentTypeError: 200, message='Attempt to decode JSON with unexpected mimetype: text/event-stream; charset=utf-8', url='http://localhost:8001/complete_prefill'"
272,0,0.0,"ContentTypeError: 200, message='Attempt to decode JSON with unexpected mimetype: text/event-stream; charset=utf-8', url='http://localhost:8001/complete_prefill'"
126,0,0.0,"ContentTypeError: 200, message='Attempt to decode JSON with unexpected mimetype: text/event-stream; charset=utf-8', url='http://localhost:8001/complete_prefill'"
354,0,0.0,"ContentTypeError: 200, message='Attempt to decode JSON with unexpected mimetype: text/event-stream; charset=utf-8', url='http://localhost:8001/complete_prefill'"
490,0,0.0,"ContentTypeError: 200, message='Attempt to decode JSON with unexpected mimetype: text/event-stream; charset=utf-8', url='http://localhost:8001/complete_prefill'"
364,0,0.0,"ContentTypeError: 200, message='Attempt to decode JSON with unexpected mimetype: text/event-stream; charset=utf-8', url='http://localhost:8001/complete_prefill'"
398,0,0.0,"ContentTypeError: 200, message='Attempt to decode JSON with unexpected mimetype: text/event-stream; charset=utf-8', url='http://localhost:8001/complete_prefill'"
150,0,0.0,"ContentTypeError: 200, message='Attempt to decode JSON with unexpected mimetype: text/event-stream; charset=utf-8', url='http://localhost:8001/complete_prefill'"
374,0,0.0,"ContentTypeError: 200, message='Attempt to decode JSON with unexpected mimetype: text/event-stream; charset=utf-8', url='http://localhost:8001/complete_prefill'"
356,0,0.0,"ContentTypeError: 200, message='Attempt to decode JSON with unexpected mimetype: text/event-stream; charset=utf-8', url='http://localhost:8001/complete_prefill'"
285,0,0.0,"ContentTypeError: 200, message='Attempt to decode JSON with unexpected mimetype: text/event-stream; charset=utf-8', url='http://localhost:8001/complete_prefill'"
333,0,0.0,"ContentTypeError: 200, message='Attempt to decode JSON with unexpected mimetype: text/event-stream; charset=utf-8', url='http://localhost:8001/complete_prefill'"
192,0,0.0,"ContentTypeError: 200, message='Attempt to decode JSON with unexpected mimetype: text/event-stream; charset=utf-8', url='http://localhost:8001/complete_prefill'"
227,0,0.0,"ContentTypeError: 200, message='Attempt to decode JSON with unexpected mimetype: text/event-stream; charset=utf-8', url='http://localhost:8001/complete_prefill'"
441,0,0.0,"ContentTypeError: 200, message='Attempt to decode JSON with unexpected mimetype: text/event-stream; charset=utf-8', url='http://localhost:8001/complete_prefill'"
453,0,0.0,"ContentTypeError: 200, message='Attempt to decode JSON with unexpected mimetype: text/event-stream; charset=utf-8', url='http://localhost:8001/complete_prefill'"
372,0,0.0,"ContentTypeError: 200, message='Attempt to decode JSON with unexpected mimetype: text/event-stream; charset=utf-8', url='http://localhost:8001/complete_prefill'"
458,0,0.0,"ContentTypeError: 200, message='Attempt to decode JSON with unexpected mimetype: text/event-stream; charset=utf-8', url='http://localhost:8001/complete_prefill'"
382,0,0.0,"ContentTypeError: 200, message='Attempt to decode JSON with unexpected mimetype: text/event-stream; charset=utf-8', url='http://localhost:8001/complete_prefill'"
